[0Q] Lower Bones -- Body system (Lower Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0Q2] Lower Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YX0Z] Change Drainage Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q2YXYZ] Change Other Device in Lower Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0Q5] Lower Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0QND3ZZ] Release Right Patella, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QND4ZZ] Release Right Patella, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNF0ZZ] Release Left Patella, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNF3ZZ] Release Left Patella, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNF4ZZ] Release Left Patella, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNG0ZZ] Release Right Tibia, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNG3ZZ] Release Right Tibia, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNG4ZZ] Release Right Tibia, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNH0ZZ] Release Left Tibia, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNH3ZZ] Release Left Tibia, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNH4ZZ] Release Left Tibia, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNJ0ZZ] Release Right Fibula, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNJ3ZZ] Release Right Fibula, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNJ4ZZ] Release Right Fibula, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNK0ZZ] Release Left Fibula, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNK3ZZ] Release Left Fibula, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNK4ZZ] Release Left Fibula, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNL0ZZ] Release Right Tarsal, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNL3ZZ] Release Right Tarsal, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNL4ZZ] Release Right Tarsal, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNM0ZZ] Release Left Tarsal, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNM3ZZ] Release Left Tarsal, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNM4ZZ] Release Left Tarsal, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNN0ZZ] Release Right Metatarsal, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNN3ZZ] Release Right Metatarsal, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNN4ZZ] Release Right Metatarsal, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNP0ZZ] Release Left Metatarsal, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNP3ZZ] Release Left Metatarsal, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNP4ZZ] Release Left Metatarsal, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNQ0ZZ] Release Right Toe Phalanx, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNQ3ZZ] Release Right Toe Phalanx, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNQ4ZZ] Release Right Toe Phalanx, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNR0ZZ] Release Left Toe Phalanx, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNR3ZZ] Release Left Toe Phalanx, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNR4ZZ] Release Left Toe Phalanx, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNS0ZZ] Release Coccyx, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNS3ZZ] Release Coccyx, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QNS4ZZ] Release Coccyx, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0QP] Lower Bones, Removal -- Taking out or off a device from a body part
[0QP004Z] Removal of Internal Fixation Device from Lumbar Vertebra, Open Approach -- Taking out or off a device from a body part
[0QP005Z] Removal of External Fixation Device from Lumbar Vertebra, Open Approach -- Taking out or off a device from a body part
[0QP007Z] Removal of Autologous Tissue Substitute from Lumbar Vertebra, Open Approach -- Taking out or off a device from a body part
[0QP00JZ] Removal of Synthetic Substitute from Lumbar Vertebra, Open Approach -- Taking out or off a device from a body part
[0QP00KZ] Removal of Nonautologous Tissue Substitute from Lumbar Vertebra, Open Approach -- Taking out or off a device from a body part
[0QP034Z] Removal of Internal Fixation Device from Lumbar Vertebra, Percutaneous Approach -- Taking out or off a device from a body part
[0QP035Z] Removal of External Fixation Device from Lumbar Vertebra, Percutaneous Approach -- Taking out or off a device from a body part
[0QP037Z] Removal of Autologous Tissue Substitute from Lumbar Vertebra, Percutaneous Approach -- Taking out or off a device from a body part
[0QP03JZ] Removal of Synthetic Substitute from Lumbar Vertebra, Percutaneous Approach -- Taking out or off a device from a body part
[0QP03KZ] Removal of Nonautologous Tissue Substitute from Lumbar Vertebra, Percutaneous Approach -- Taking out or off a device from a body part
[0QP044Z] Removal of Internal Fixation Device from Lumbar Vertebra, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0QP045Z] Removal of External Fixation Device from Lumbar Vertebra, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
[0QP047Z] Removal of Autologous Tissue Substitute from Lumbar Vertebra, Percutaneous Endoscopic Approach -- Taking out or off a device from a body part
