[0K] Muscles -- Body system (Muscles) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0K2] Muscles, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XX0Z] Change Drainage Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2XXYZ] Change Other Device in Upper Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YX0Z] Change Drainage Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K2YXYZ] Change Other Device in Lower Muscle, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0K5] Muscles, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0KCD4ZZ] Extirpation of Matter from Left Hand Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCF0ZZ] Extirpation of Matter from Right Trunk Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCF3ZZ] Extirpation of Matter from Right Trunk Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCF4ZZ] Extirpation of Matter from Right Trunk Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCG0ZZ] Extirpation of Matter from Left Trunk Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCG3ZZ] Extirpation of Matter from Left Trunk Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCG4ZZ] Extirpation of Matter from Left Trunk Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCH0ZZ] Extirpation of Matter from Right Thorax Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCH3ZZ] Extirpation of Matter from Right Thorax Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCH4ZZ] Extirpation of Matter from Right Thorax Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCJ0ZZ] Extirpation of Matter from Left Thorax Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCJ3ZZ] Extirpation of Matter from Left Thorax Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCJ4ZZ] Extirpation of Matter from Left Thorax Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCK0ZZ] Extirpation of Matter from Right Abdomen Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCK3ZZ] Extirpation of Matter from Right Abdomen Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCK4ZZ] Extirpation of Matter from Right Abdomen Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCL0ZZ] Extirpation of Matter from Left Abdomen Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCL3ZZ] Extirpation of Matter from Left Abdomen Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCL4ZZ] Extirpation of Matter from Left Abdomen Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCM0ZZ] Extirpation of Matter from Perineum Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCM3ZZ] Extirpation of Matter from Perineum Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCM4ZZ] Extirpation of Matter from Perineum Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCN0ZZ] Extirpation of Matter from Right Hip Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCN3ZZ] Extirpation of Matter from Right Hip Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCN4ZZ] Extirpation of Matter from Right Hip Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCP0ZZ] Extirpation of Matter from Left Hip Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCP3ZZ] Extirpation of Matter from Left Hip Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCP4ZZ] Extirpation of Matter from Left Hip Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCQ0ZZ] Extirpation of Matter from Right Upper Leg Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCQ3ZZ] Extirpation of Matter from Right Upper Leg Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCQ4ZZ] Extirpation of Matter from Right Upper Leg Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCR0ZZ] Extirpation of Matter from Left Upper Leg Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCR3ZZ] Extirpation of Matter from Left Upper Leg Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCR4ZZ] Extirpation of Matter from Left Upper Leg Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCS0ZZ] Extirpation of Matter from Right Lower Leg Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCS3ZZ] Extirpation of Matter from Right Lower Leg Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCS4ZZ] Extirpation of Matter from Right Lower Leg Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCT0ZZ] Extirpation of Matter from Left Lower Leg Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCT3ZZ] Extirpation of Matter from Left Lower Leg Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCT4ZZ] Extirpation of Matter from Left Lower Leg Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCV0ZZ] Extirpation of Matter from Right Foot Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCV3ZZ] Extirpation of Matter from Right Foot Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCV4ZZ] Extirpation of Matter from Right Foot Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KCW0ZZ] Extirpation of Matter from Left Foot Muscle, Open Approach -- Taking or cutting out solid matter from a body part
[0KCW3ZZ] Extirpation of Matter from Left Foot Muscle, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0KCW4ZZ] Extirpation of Matter from Left Foot Muscle, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0KD] Muscles, Extraction -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD00ZZ] Extraction of Head Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD10ZZ] Extraction of Facial Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD20ZZ] Extraction of Right Neck Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD30ZZ] Extraction of Left Neck Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD40ZZ] Extraction of Tongue, Palate, Pharynx Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD50ZZ] Extraction of Right Shoulder Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD60ZZ] Extraction of Left Shoulder Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD70ZZ] Extraction of Right Upper Arm Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD80ZZ] Extraction of Left Upper Arm Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KD90ZZ] Extraction of Right Lower Arm and Wrist Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDB0ZZ] Extraction of Left Lower Arm and Wrist Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDC0ZZ] Extraction of Right Hand Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDD0ZZ] Extraction of Left Hand Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDF0ZZ] Extraction of Right Trunk Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDG0ZZ] Extraction of Left Trunk Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDH0ZZ] Extraction of Right Thorax Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDJ0ZZ] Extraction of Left Thorax Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDK0ZZ] Extraction of Right Abdomen Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDL0ZZ] Extraction of Left Abdomen Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDM0ZZ] Extraction of Perineum Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDN0ZZ] Extraction of Right Hip Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDP0ZZ] Extraction of Left Hip Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDQ0ZZ] Extraction of Right Upper Leg Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDR0ZZ] Extraction of Left Upper Leg Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDS0ZZ] Extraction of Right Lower Leg Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDT0ZZ] Extraction of Left Lower Leg Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDV0ZZ] Extraction of Right Foot Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KDW0ZZ] Extraction of Left Foot Muscle, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0KH] Muscles, Insertion -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHX0MZ] Insertion of Stimulator Lead into Upper Muscle, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHX0YZ] Insertion of Other Device into Upper Muscle, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHX3MZ] Insertion of Stimulator Lead into Upper Muscle, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHX3YZ] Insertion of Other Device into Upper Muscle, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHX4MZ] Insertion of Stimulator Lead into Upper Muscle, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHX4YZ] Insertion of Other Device into Upper Muscle, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHY0MZ] Insertion of Stimulator Lead into Lower Muscle, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHY0YZ] Insertion of Other Device into Lower Muscle, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHY3MZ] Insertion of Stimulator Lead into Lower Muscle, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHY3YZ] Insertion of Other Device into Lower Muscle, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHY4MZ] Insertion of Stimulator Lead into Lower Muscle, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KHY4YZ] Insertion of Other Device into Lower Muscle, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0KJ] Muscles, Inspection -- Visually and/or manually exploring a body part
[0KJX0ZZ] Inspection of Upper Muscle, Open Approach -- Visually and/or manually exploring a body part
[0KJX3ZZ] Inspection of Upper Muscle, Percutaneous Approach -- Visually and/or manually exploring a body part
[0KJX4ZZ] Inspection of Upper Muscle, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0KJXXZZ] Inspection of Upper Muscle, External Approach -- Visually and/or manually exploring a body part
[0KJY0ZZ] Inspection of Lower Muscle, Open Approach -- Visually and/or manually exploring a body part
[0KJY3ZZ] Inspection of Lower Muscle, Percutaneous Approach -- Visually and/or manually exploring a body part
[0KJY4ZZ] Inspection of Lower Muscle, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0KJYXZZ] Inspection of Lower Muscle, External Approach -- Visually and/or manually exploring a body part
