[0D] Gastrointestinal System -- Body system (Gastrointestinal System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0D1] Gastrointestinal System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0D5F0Z3] Destruction of Right Large Intestine using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5F0ZZ] Destruction of Right Large Intestine, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5F3Z3] Destruction of Right Large Intestine using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5F3ZZ] Destruction of Right Large Intestine, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5F4Z3] Destruction of Right Large Intestine using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5F4ZZ] Destruction of Right Large Intestine, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5F7ZZ] Destruction of Right Large Intestine, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5F8ZZ] Destruction of Right Large Intestine, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5G0Z3] Destruction of Left Large Intestine using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5G0ZZ] Destruction of Left Large Intestine, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5G3Z3] Destruction of Left Large Intestine using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5G3ZZ] Destruction of Left Large Intestine, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5G4Z3] Destruction of Left Large Intestine using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5G4ZZ] Destruction of Left Large Intestine, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5G7ZZ] Destruction of Left Large Intestine, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5G8ZZ] Destruction of Left Large Intestine, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5H0Z3] Destruction of Cecum using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5H0ZZ] Destruction of Cecum, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5H3Z3] Destruction of Cecum using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5H3ZZ] Destruction of Cecum, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5H4Z3] Destruction of Cecum using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5H4ZZ] Destruction of Cecum, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5H7ZZ] Destruction of Cecum, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5H8ZZ] Destruction of Cecum, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5J0Z3] Destruction of Appendix using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5J0ZZ] Destruction of Appendix, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5J3Z3] Destruction of Appendix using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5J3ZZ] Destruction of Appendix, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5J4Z3] Destruction of Appendix using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5J4ZZ] Destruction of Appendix, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5J7ZZ] Destruction of Appendix, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5J8ZZ] Destruction of Appendix, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5K0Z3] Destruction of Ascending Colon using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5K0ZZ] Destruction of Ascending Colon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5K3Z3] Destruction of Ascending Colon using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5K3ZZ] Destruction of Ascending Colon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5K4Z3] Destruction of Ascending Colon using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5K4ZZ] Destruction of Ascending Colon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5K7ZZ] Destruction of Ascending Colon, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5K8ZZ] Destruction of Ascending Colon, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5L0Z3] Destruction of Transverse Colon using Laser Interstitial Thermal Therapy, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5L0ZZ] Destruction of Transverse Colon, Open Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5L3Z3] Destruction of Transverse Colon using Laser Interstitial Thermal Therapy, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5L3ZZ] Destruction of Transverse Colon, Percutaneous Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5L4Z3] Destruction of Transverse Colon using Laser Interstitial Thermal Therapy, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5L4ZZ] Destruction of Transverse Colon, Percutaneous Endoscopic Approach -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5L7ZZ] Destruction of Transverse Colon, Via Natural or Artificial Opening -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0D5L8ZZ] Destruction of Transverse Colon, Via Natural or Artificial Opening Endoscopic -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
