[02] Heart and Great Vessels -- Body system (Heart and Great Vessels) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[021] Heart and Great Vessels, Bypass -- Altering the route of passage of the contents of a tubular body part
[027246Z] Dilation of Coronary Artery, Three Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0272476] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027247Z] Dilation of Coronary Artery, Three Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724D6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724DZ] Dilation of Coronary Artery, Three Arteries with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724E6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724EZ] Dilation of Coronary Artery, Three Arteries with Two Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724F6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724FZ] Dilation of Coronary Artery, Three Arteries with Three Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724G6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724GZ] Dilation of Coronary Artery, Three Arteries with Four or More Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724T6] Dilation of Coronary Artery, Three Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724TZ] Dilation of Coronary Artery, Three Arteries with Radioactive Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724Z6] Dilation of Coronary Artery, Three Arteries, Bifurcation, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02724ZZ] Dilation of Coronary Artery, Three Arteries, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0273046] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027304Z] Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0273056] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027305Z] Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0273066] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027306Z] Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0273076] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[027307Z] Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730D6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730DZ] Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730E6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730EZ] Dilation of Coronary Artery, Four or More Arteries with Two Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730F6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730FZ] Dilation of Coronary Artery, Four or More Arteries with Three Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730G6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730GZ] Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730T6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730TZ] Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730Z6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[02730ZZ] Dilation of Coronary Artery, Four or More Arteries, Open Approach -- Expanding an orifice or the lumen of a tubular body part
[0273346] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027334Z] Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0273356] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027335Z] Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0273366] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027336Z] Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0273376] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[027337Z] Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733D6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733DZ] Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733E6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733EZ] Dilation of Coronary Artery, Four or More Arteries with Two Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733F6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733FZ] Dilation of Coronary Artery, Four or More Arteries with Three Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733G6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733GZ] Dilation of Coronary Artery, Four or More Arteries with Four or More Intraluminal Devices, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733T6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Radioactive Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733TZ] Dilation of Coronary Artery, Four or More Arteries with Radioactive Intraluminal Device, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733Z6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[02733ZZ] Dilation of Coronary Artery, Four or More Arteries, Percutaneous Approach -- Expanding an orifice or the lumen of a tubular body part
[0273446] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027344Z] Dilation of Coronary Artery, Four or More Arteries with Drug-eluting Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0273456] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027345Z] Dilation of Coronary Artery, Four or More Arteries with Two Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0273466] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027346Z] Dilation of Coronary Artery, Four or More Arteries with Three Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[0273476] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[027347Z] Dilation of Coronary Artery, Four or More Arteries with Four or More Drug-eluting Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02734D6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02734DZ] Dilation of Coronary Artery, Four or More Arteries with Intraluminal Device, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
[02734E6] Dilation of Coronary Artery, Four or More Arteries, Bifurcation, with Two Intraluminal Devices, Percutaneous Endoscopic Approach -- Expanding an orifice or the lumen of a tubular body part
