[01] Peripheral Nervous System -- Body system (Peripheral Nervous System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[012] Peripheral Nervous System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YX0Z] Change Drainage Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[012YXYZ] Change Other Device in Peripheral Nerve, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[015] Peripheral Nervous System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[01CF4ZZ] Extirpation of Matter from Sciatic Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CG0ZZ] Extirpation of Matter from Tibial Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CG3ZZ] Extirpation of Matter from Tibial Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CG4ZZ] Extirpation of Matter from Tibial Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CH0ZZ] Extirpation of Matter from Peroneal Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CH3ZZ] Extirpation of Matter from Peroneal Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CH4ZZ] Extirpation of Matter from Peroneal Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CK0ZZ] Extirpation of Matter from Head and Neck Sympathetic Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CK3ZZ] Extirpation of Matter from Head and Neck Sympathetic Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CK4ZZ] Extirpation of Matter from Head and Neck Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CL0ZZ] Extirpation of Matter from Thoracic Sympathetic Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CL3ZZ] Extirpation of Matter from Thoracic Sympathetic Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CL4ZZ] Extirpation of Matter from Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CM0ZZ] Extirpation of Matter from Abdominal Sympathetic Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CM3ZZ] Extirpation of Matter from Abdominal Sympathetic Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CM4ZZ] Extirpation of Matter from Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CN0ZZ] Extirpation of Matter from Lumbar Sympathetic Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CN3ZZ] Extirpation of Matter from Lumbar Sympathetic Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CN4ZZ] Extirpation of Matter from Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CP0ZZ] Extirpation of Matter from Sacral Sympathetic Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CP3ZZ] Extirpation of Matter from Sacral Sympathetic Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CP4ZZ] Extirpation of Matter from Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CQ0ZZ] Extirpation of Matter from Sacral Plexus, Open Approach -- Taking or cutting out solid matter from a body part
[01CQ3ZZ] Extirpation of Matter from Sacral Plexus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CQ4ZZ] Extirpation of Matter from Sacral Plexus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01CR0ZZ] Extirpation of Matter from Sacral Nerve, Open Approach -- Taking or cutting out solid matter from a body part
[01CR3ZZ] Extirpation of Matter from Sacral Nerve, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[01CR4ZZ] Extirpation of Matter from Sacral Nerve, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[01D] Peripheral Nervous System, Extraction -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D00ZZ] Extraction of Cervical Plexus, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D03ZZ] Extraction of Cervical Plexus, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D04ZZ] Extraction of Cervical Plexus, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D10ZZ] Extraction of Cervical Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D13ZZ] Extraction of Cervical Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D14ZZ] Extraction of Cervical Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D20ZZ] Extraction of Phrenic Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D23ZZ] Extraction of Phrenic Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D24ZZ] Extraction of Phrenic Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D30ZZ] Extraction of Brachial Plexus, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D33ZZ] Extraction of Brachial Plexus, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D34ZZ] Extraction of Brachial Plexus, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D40ZZ] Extraction of Ulnar Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D43ZZ] Extraction of Ulnar Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D44ZZ] Extraction of Ulnar Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D50ZZ] Extraction of Median Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D53ZZ] Extraction of Median Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D54ZZ] Extraction of Median Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D60ZZ] Extraction of Radial Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D63ZZ] Extraction of Radial Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D64ZZ] Extraction of Radial Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D80ZZ] Extraction of Thoracic Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D83ZZ] Extraction of Thoracic Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D84ZZ] Extraction of Thoracic Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D90ZZ] Extraction of Lumbar Plexus, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D93ZZ] Extraction of Lumbar Plexus, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01D94ZZ] Extraction of Lumbar Plexus, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DA0ZZ] Extraction of Lumbosacral Plexus, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DA3ZZ] Extraction of Lumbosacral Plexus, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DA4ZZ] Extraction of Lumbosacral Plexus, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DB0ZZ] Extraction of Lumbar Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DB3ZZ] Extraction of Lumbar Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DB4ZZ] Extraction of Lumbar Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DC0ZZ] Extraction of Pudendal Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DC3ZZ] Extraction of Pudendal Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DC4ZZ] Extraction of Pudendal Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DD0ZZ] Extraction of Femoral Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DD3ZZ] Extraction of Femoral Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DD4ZZ] Extraction of Femoral Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DF0ZZ] Extraction of Sciatic Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DF3ZZ] Extraction of Sciatic Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DF4ZZ] Extraction of Sciatic Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DG0ZZ] Extraction of Tibial Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DG3ZZ] Extraction of Tibial Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DG4ZZ] Extraction of Tibial Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DH0ZZ] Extraction of Peroneal Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DH3ZZ] Extraction of Peroneal Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DH4ZZ] Extraction of Peroneal Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DK0ZZ] Extraction of Head and Neck Sympathetic Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DK3ZZ] Extraction of Head and Neck Sympathetic Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DK4ZZ] Extraction of Head and Neck Sympathetic Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DL0ZZ] Extraction of Thoracic Sympathetic Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DL3ZZ] Extraction of Thoracic Sympathetic Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DL4ZZ] Extraction of Thoracic Sympathetic Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DM0ZZ] Extraction of Abdominal Sympathetic Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DM3ZZ] Extraction of Abdominal Sympathetic Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DM4ZZ] Extraction of Abdominal Sympathetic Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DN0ZZ] Extraction of Lumbar Sympathetic Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DN3ZZ] Extraction of Lumbar Sympathetic Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DN4ZZ] Extraction of Lumbar Sympathetic Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DP0ZZ] Extraction of Sacral Sympathetic Nerve, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DP3ZZ] Extraction of Sacral Sympathetic Nerve, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DP4ZZ] Extraction of Sacral Sympathetic Nerve, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DQ0ZZ] Extraction of Sacral Plexus, Open Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DQ3ZZ] Extraction of Sacral Plexus, Percutaneous Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
[01DQ4ZZ] Extraction of Sacral Plexus, Percutaneous Endoscopic Approach -- Pulling or stripping out or off all or a portion of a body part by the use of force
