[0L] Tendons -- Body system (Tendons) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0L2] Tendons, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XX0Z] Change Drainage Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2XXYZ] Change Other Device in Upper Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YX0Z] Change Drainage Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L2YXYZ] Change Other Device in Lower Tendon, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0L5] Tendons, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0LBP0ZZ] Excision of Left Lower Leg Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBP3ZX] Excision of Left Lower Leg Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBP3ZZ] Excision of Left Lower Leg Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBP4ZX] Excision of Left Lower Leg Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBP4ZZ] Excision of Left Lower Leg Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBQ0ZX] Excision of Right Knee Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBQ0ZZ] Excision of Right Knee Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBQ3ZX] Excision of Right Knee Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBQ3ZZ] Excision of Right Knee Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBQ4ZX] Excision of Right Knee Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBQ4ZZ] Excision of Right Knee Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBR0ZX] Excision of Left Knee Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBR0ZZ] Excision of Left Knee Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBR3ZX] Excision of Left Knee Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBR3ZZ] Excision of Left Knee Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBR4ZX] Excision of Left Knee Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBR4ZZ] Excision of Left Knee Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBS0ZX] Excision of Right Ankle Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBS0ZZ] Excision of Right Ankle Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBS3ZX] Excision of Right Ankle Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBS3ZZ] Excision of Right Ankle Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBS4ZX] Excision of Right Ankle Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBS4ZZ] Excision of Right Ankle Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBT0ZX] Excision of Left Ankle Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBT0ZZ] Excision of Left Ankle Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBT3ZX] Excision of Left Ankle Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBT3ZZ] Excision of Left Ankle Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBT4ZX] Excision of Left Ankle Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBT4ZZ] Excision of Left Ankle Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBV0ZX] Excision of Right Foot Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBV0ZZ] Excision of Right Foot Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBV3ZX] Excision of Right Foot Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBV3ZZ] Excision of Right Foot Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBV4ZX] Excision of Right Foot Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBV4ZZ] Excision of Right Foot Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBW0ZX] Excision of Left Foot Tendon, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBW0ZZ] Excision of Left Foot Tendon, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBW3ZX] Excision of Left Foot Tendon, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBW3ZZ] Excision of Left Foot Tendon, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0LBW4ZX] Excision of Left Foot Tendon, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0LBW4ZZ] Excision of Left Foot Tendon, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0LC] Tendons, Extirpation -- Taking or cutting out solid matter from a body part
[0LC00ZZ] Extirpation of Matter from Head and Neck Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC03ZZ] Extirpation of Matter from Head and Neck Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC04ZZ] Extirpation of Matter from Head and Neck Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC10ZZ] Extirpation of Matter from Right Shoulder Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC13ZZ] Extirpation of Matter from Right Shoulder Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC14ZZ] Extirpation of Matter from Right Shoulder Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC20ZZ] Extirpation of Matter from Left Shoulder Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC23ZZ] Extirpation of Matter from Left Shoulder Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC24ZZ] Extirpation of Matter from Left Shoulder Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC30ZZ] Extirpation of Matter from Right Upper Arm Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC33ZZ] Extirpation of Matter from Right Upper Arm Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC34ZZ] Extirpation of Matter from Right Upper Arm Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC40ZZ] Extirpation of Matter from Left Upper Arm Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC43ZZ] Extirpation of Matter from Left Upper Arm Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC44ZZ] Extirpation of Matter from Left Upper Arm Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC50ZZ] Extirpation of Matter from Right Lower Arm and Wrist Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC53ZZ] Extirpation of Matter from Right Lower Arm and Wrist Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC54ZZ] Extirpation of Matter from Right Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC60ZZ] Extirpation of Matter from Left Lower Arm and Wrist Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC63ZZ] Extirpation of Matter from Left Lower Arm and Wrist Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC64ZZ] Extirpation of Matter from Left Lower Arm and Wrist Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC70ZZ] Extirpation of Matter from Right Hand Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC73ZZ] Extirpation of Matter from Right Hand Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC74ZZ] Extirpation of Matter from Right Hand Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC80ZZ] Extirpation of Matter from Left Hand Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC83ZZ] Extirpation of Matter from Left Hand Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC84ZZ] Extirpation of Matter from Left Hand Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LC90ZZ] Extirpation of Matter from Right Trunk Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LC93ZZ] Extirpation of Matter from Right Trunk Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LC94ZZ] Extirpation of Matter from Right Trunk Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCB0ZZ] Extirpation of Matter from Left Trunk Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCB3ZZ] Extirpation of Matter from Left Trunk Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCB4ZZ] Extirpation of Matter from Left Trunk Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCC0ZZ] Extirpation of Matter from Right Thorax Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCC3ZZ] Extirpation of Matter from Right Thorax Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCC4ZZ] Extirpation of Matter from Right Thorax Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCD0ZZ] Extirpation of Matter from Left Thorax Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCD3ZZ] Extirpation of Matter from Left Thorax Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCD4ZZ] Extirpation of Matter from Left Thorax Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCF0ZZ] Extirpation of Matter from Right Abdomen Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCF3ZZ] Extirpation of Matter from Right Abdomen Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCF4ZZ] Extirpation of Matter from Right Abdomen Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCG0ZZ] Extirpation of Matter from Left Abdomen Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCG3ZZ] Extirpation of Matter from Left Abdomen Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCG4ZZ] Extirpation of Matter from Left Abdomen Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCH0ZZ] Extirpation of Matter from Perineum Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCH3ZZ] Extirpation of Matter from Perineum Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCH4ZZ] Extirpation of Matter from Perineum Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCJ0ZZ] Extirpation of Matter from Right Hip Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCJ3ZZ] Extirpation of Matter from Right Hip Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCJ4ZZ] Extirpation of Matter from Right Hip Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCK0ZZ] Extirpation of Matter from Left Hip Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCK3ZZ] Extirpation of Matter from Left Hip Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCK4ZZ] Extirpation of Matter from Left Hip Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCL0ZZ] Extirpation of Matter from Right Upper Leg Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCL3ZZ] Extirpation of Matter from Right Upper Leg Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCL4ZZ] Extirpation of Matter from Right Upper Leg Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCM0ZZ] Extirpation of Matter from Left Upper Leg Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCM3ZZ] Extirpation of Matter from Left Upper Leg Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCM4ZZ] Extirpation of Matter from Left Upper Leg Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCN0ZZ] Extirpation of Matter from Right Lower Leg Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCN3ZZ] Extirpation of Matter from Right Lower Leg Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0LCN4ZZ] Extirpation of Matter from Right Lower Leg Tendon, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0LCP0ZZ] Extirpation of Matter from Left Lower Leg Tendon, Open Approach -- Taking or cutting out solid matter from a body part
[0LCP3ZZ] Extirpation of Matter from Left Lower Leg Tendon, Percutaneous Approach -- Taking or cutting out solid matter from a body part
