[0B] Respiratory System -- Body system (Respiratory System) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0B1] Respiratory System, Bypass -- Altering the route of passage of the contents of a tubular body part
[0B110D6] Bypass Trachea to Esophagus with Intraluminal Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B110Z4] Bypass Trachea to Cutaneous, Open Approach -- Altering the route of passage of the contents of a tubular body part
[0B113F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B113Z4] Bypass Trachea to Cutaneous, Percutaneous Approach -- Altering the route of passage of the contents of a tubular body part
[0B114F4] Bypass Trachea to Cutaneous with Tracheostomy Device, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B114Z4] Bypass Trachea to Cutaneous, Percutaneous Endoscopic Approach -- Altering the route of passage of the contents of a tubular body part
[0B2] Respiratory System, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20X0Z] Change Drainage Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B20XYZ] Change Other Device in Tracheobronchial Tree, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21X0Z] Change Drainage Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XEZ] Change Endotracheal Airway in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XFZ] Change Tracheostomy Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B21XYZ] Change Other Device in Trachea, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KX0Z] Change Drainage Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2KXYZ] Change Other Device in Right Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LX0Z] Change Drainage Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2LXYZ] Change Other Device in Left Lung, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QX0Z] Change Drainage Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2QXYZ] Change Other Device in Pleura, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TX0Z] Change Drainage Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B2TXYZ] Change Other Device in Diaphragm, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0B5] Respiratory System, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0BC58ZZ] Extirpation of Matter from Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BC60ZZ] Extirpation of Matter from Right Lower Lobe Bronchus, Open Approach -- Taking or cutting out solid matter from a body part
[0BC63ZZ] Extirpation of Matter from Right Lower Lobe Bronchus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC64ZZ] Extirpation of Matter from Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC67ZZ] Extirpation of Matter from Right Lower Lobe Bronchus, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BC68ZZ] Extirpation of Matter from Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BC70ZZ] Extirpation of Matter from Left Main Bronchus, Open Approach -- Taking or cutting out solid matter from a body part
[0BC73ZZ] Extirpation of Matter from Left Main Bronchus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC74ZZ] Extirpation of Matter from Left Main Bronchus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC77ZZ] Extirpation of Matter from Left Main Bronchus, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BC78ZZ] Extirpation of Matter from Left Main Bronchus, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BC80ZZ] Extirpation of Matter from Left Upper Lobe Bronchus, Open Approach -- Taking or cutting out solid matter from a body part
[0BC83ZZ] Extirpation of Matter from Left Upper Lobe Bronchus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC84ZZ] Extirpation of Matter from Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC87ZZ] Extirpation of Matter from Left Upper Lobe Bronchus, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BC88ZZ] Extirpation of Matter from Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BC90ZZ] Extirpation of Matter from Lingula Bronchus, Open Approach -- Taking or cutting out solid matter from a body part
[0BC93ZZ] Extirpation of Matter from Lingula Bronchus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BC94ZZ] Extirpation of Matter from Lingula Bronchus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BC97ZZ] Extirpation of Matter from Lingula Bronchus, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BC98ZZ] Extirpation of Matter from Lingula Bronchus, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCB0ZZ] Extirpation of Matter from Left Lower Lobe Bronchus, Open Approach -- Taking or cutting out solid matter from a body part
[0BCB3ZZ] Extirpation of Matter from Left Lower Lobe Bronchus, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCB4ZZ] Extirpation of Matter from Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCB7ZZ] Extirpation of Matter from Left Lower Lobe Bronchus, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCB8ZZ] Extirpation of Matter from Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCC0ZZ] Extirpation of Matter from Right Upper Lung Lobe, Open Approach -- Taking or cutting out solid matter from a body part
[0BCC3ZZ] Extirpation of Matter from Right Upper Lung Lobe, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCC4ZZ] Extirpation of Matter from Right Upper Lung Lobe, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCC7ZZ] Extirpation of Matter from Right Upper Lung Lobe, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCC8ZZ] Extirpation of Matter from Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCD0ZZ] Extirpation of Matter from Right Middle Lung Lobe, Open Approach -- Taking or cutting out solid matter from a body part
[0BCD3ZZ] Extirpation of Matter from Right Middle Lung Lobe, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCD4ZZ] Extirpation of Matter from Right Middle Lung Lobe, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCD7ZZ] Extirpation of Matter from Right Middle Lung Lobe, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCD8ZZ] Extirpation of Matter from Right Middle Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCF0ZZ] Extirpation of Matter from Right Lower Lung Lobe, Open Approach -- Taking or cutting out solid matter from a body part
[0BCF3ZZ] Extirpation of Matter from Right Lower Lung Lobe, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCF4ZZ] Extirpation of Matter from Right Lower Lung Lobe, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCF7ZZ] Extirpation of Matter from Right Lower Lung Lobe, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCF8ZZ] Extirpation of Matter from Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCG0ZZ] Extirpation of Matter from Left Upper Lung Lobe, Open Approach -- Taking or cutting out solid matter from a body part
[0BCG3ZZ] Extirpation of Matter from Left Upper Lung Lobe, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCG4ZZ] Extirpation of Matter from Left Upper Lung Lobe, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCG7ZZ] Extirpation of Matter from Left Upper Lung Lobe, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCG8ZZ] Extirpation of Matter from Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCH0ZZ] Extirpation of Matter from Lung Lingula, Open Approach -- Taking or cutting out solid matter from a body part
[0BCH3ZZ] Extirpation of Matter from Lung Lingula, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCH4ZZ] Extirpation of Matter from Lung Lingula, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCH7ZZ] Extirpation of Matter from Lung Lingula, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCH8ZZ] Extirpation of Matter from Lung Lingula, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCJ0ZZ] Extirpation of Matter from Left Lower Lung Lobe, Open Approach -- Taking or cutting out solid matter from a body part
[0BCJ3ZZ] Extirpation of Matter from Left Lower Lung Lobe, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCJ4ZZ] Extirpation of Matter from Left Lower Lung Lobe, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCJ7ZZ] Extirpation of Matter from Left Lower Lung Lobe, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCJ8ZZ] Extirpation of Matter from Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCK0ZZ] Extirpation of Matter from Right Lung, Open Approach -- Taking or cutting out solid matter from a body part
[0BCK3ZZ] Extirpation of Matter from Right Lung, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCK4ZZ] Extirpation of Matter from Right Lung, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCK7ZZ] Extirpation of Matter from Right Lung, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCK8ZZ] Extirpation of Matter from Right Lung, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCL0ZZ] Extirpation of Matter from Left Lung, Open Approach -- Taking or cutting out solid matter from a body part
[0BCL3ZZ] Extirpation of Matter from Left Lung, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCL4ZZ] Extirpation of Matter from Left Lung, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCL7ZZ] Extirpation of Matter from Left Lung, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCL8ZZ] Extirpation of Matter from Left Lung, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCM0ZZ] Extirpation of Matter from Bilateral Lungs, Open Approach -- Taking or cutting out solid matter from a body part
[0BCM3ZZ] Extirpation of Matter from Bilateral Lungs, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCM4ZZ] Extirpation of Matter from Bilateral Lungs, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCM7ZZ] Extirpation of Matter from Bilateral Lungs, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0BCM8ZZ] Extirpation of Matter from Bilateral Lungs, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0BCN0ZZ] Extirpation of Matter from Right Pleura, Open Approach -- Taking or cutting out solid matter from a body part
[0BCN3ZZ] Extirpation of Matter from Right Pleura, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCN4ZZ] Extirpation of Matter from Right Pleura, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCP0ZZ] Extirpation of Matter from Left Pleura, Open Approach -- Taking or cutting out solid matter from a body part
[0BCP3ZZ] Extirpation of Matter from Left Pleura, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCP4ZZ] Extirpation of Matter from Left Pleura, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BCT0ZZ] Extirpation of Matter from Diaphragm, Open Approach -- Taking or cutting out solid matter from a body part
[0BCT3ZZ] Extirpation of Matter from Diaphragm, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0BCT4ZZ] Extirpation of Matter from Diaphragm, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0BD] Respiratory System, Extraction -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD14ZX] Extraction of Trachea, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD18ZX] Extraction of Trachea, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD24ZX] Extraction of Carina, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD28ZX] Extraction of Carina, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD34ZX] Extraction of Right Main Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD38ZX] Extraction of Right Main Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD44ZX] Extraction of Right Upper Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD48ZX] Extraction of Right Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD54ZX] Extraction of Right Middle Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD58ZX] Extraction of Right Middle Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD64ZX] Extraction of Right Lower Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD68ZX] Extraction of Right Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD74ZX] Extraction of Left Main Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD78ZX] Extraction of Left Main Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD84ZX] Extraction of Left Upper Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD88ZX] Extraction of Left Upper Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD94ZX] Extraction of Lingula Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BD98ZX] Extraction of Lingula Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDB4ZX] Extraction of Left Lower Lobe Bronchus, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDB8ZX] Extraction of Left Lower Lobe Bronchus, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDC4ZX] Extraction of Right Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDC8ZX] Extraction of Right Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDD4ZX] Extraction of Right Middle Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDD8ZX] Extraction of Right Middle Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDF4ZX] Extraction of Right Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDF8ZX] Extraction of Right Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDG4ZX] Extraction of Left Upper Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDG8ZX] Extraction of Left Upper Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDH4ZX] Extraction of Lung Lingula, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDH8ZX] Extraction of Lung Lingula, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDJ4ZX] Extraction of Left Lower Lung Lobe, Percutaneous Endoscopic Approach, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
[0BDJ8ZX] Extraction of Left Lower Lung Lobe, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Pulling or stripping out or off all or a portion of a body part by the use of force
