[0N] Head and Facial Bones -- Body system (Head and Facial Bones) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0N2] Head and Facial Bones, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20X0Z] Change Drainage Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N20XYZ] Change Other Device in Skull, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BX0Z] Change Drainage Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2BXYZ] Change Other Device in Nasal Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WX0Z] Change Drainage Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N2WXYZ] Change Other Device in Facial Bone, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0N5] Head and Facial Bones, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0NHR44Z] Insertion of Internal Fixation Device into Maxilla, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHR45Z] Insertion of External Fixation Device into Maxilla, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHT04Z] Insertion of Internal Fixation Device into Right Mandible, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHT05Z] Insertion of External Fixation Device into Right Mandible, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHT34Z] Insertion of Internal Fixation Device into Right Mandible, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHT35Z] Insertion of External Fixation Device into Right Mandible, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHT44Z] Insertion of Internal Fixation Device into Right Mandible, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHT45Z] Insertion of External Fixation Device into Right Mandible, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHV04Z] Insertion of Internal Fixation Device into Left Mandible, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHV05Z] Insertion of External Fixation Device into Left Mandible, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHV34Z] Insertion of Internal Fixation Device into Left Mandible, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHV35Z] Insertion of External Fixation Device into Left Mandible, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHV44Z] Insertion of Internal Fixation Device into Left Mandible, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHV45Z] Insertion of External Fixation Device into Left Mandible, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHW0MZ] Insertion of Bone Growth Stimulator into Facial Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHW3MZ] Insertion of Bone Growth Stimulator into Facial Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHW4MZ] Insertion of Bone Growth Stimulator into Facial Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHX04Z] Insertion of Internal Fixation Device into Hyoid Bone, Open Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHX34Z] Insertion of Internal Fixation Device into Hyoid Bone, Percutaneous Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NHX44Z] Insertion of Internal Fixation Device into Hyoid Bone, Percutaneous Endoscopic Approach -- Putting in a nonbiological appliance that monitors, assists, performs, or prevents a physiological function but does not physically take the place of a body part
[0NJ] Head and Facial Bones, Inspection -- Visually and/or manually exploring a body part
[0NJ00ZZ] Inspection of Skull, Open Approach -- Visually and/or manually exploring a body part
[0NJ03ZZ] Inspection of Skull, Percutaneous Approach -- Visually and/or manually exploring a body part
[0NJ04ZZ] Inspection of Skull, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0NJ0XZZ] Inspection of Skull, External Approach -- Visually and/or manually exploring a body part
[0NJB0ZZ] Inspection of Nasal Bone, Open Approach -- Visually and/or manually exploring a body part
[0NJB3ZZ] Inspection of Nasal Bone, Percutaneous Approach -- Visually and/or manually exploring a body part
[0NJB4ZZ] Inspection of Nasal Bone, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0NJBXZZ] Inspection of Nasal Bone, External Approach -- Visually and/or manually exploring a body part
[0NJW0ZZ] Inspection of Facial Bone, Open Approach -- Visually and/or manually exploring a body part
[0NJW3ZZ] Inspection of Facial Bone, Percutaneous Approach -- Visually and/or manually exploring a body part
[0NJW4ZZ] Inspection of Facial Bone, Percutaneous Endoscopic Approach -- Visually and/or manually exploring a body part
[0NJWXZZ] Inspection of Facial Bone, External Approach -- Visually and/or manually exploring a body part
[0NN] Head and Facial Bones, Release -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN10ZZ] Release Frontal Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN13ZZ] Release Frontal Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN14ZZ] Release Frontal Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN30ZZ] Release Right Parietal Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN33ZZ] Release Right Parietal Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN34ZZ] Release Right Parietal Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN40ZZ] Release Left Parietal Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN43ZZ] Release Left Parietal Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN44ZZ] Release Left Parietal Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN50ZZ] Release Right Temporal Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN53ZZ] Release Right Temporal Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN54ZZ] Release Right Temporal Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN60ZZ] Release Left Temporal Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN63ZZ] Release Left Temporal Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN64ZZ] Release Left Temporal Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN70ZZ] Release Occipital Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN73ZZ] Release Occipital Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NN74ZZ] Release Occipital Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NNB0ZZ] Release Nasal Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NNB3ZZ] Release Nasal Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NNB4ZZ] Release Nasal Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NNC0ZZ] Release Sphenoid Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NNC3ZZ] Release Sphenoid Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NNC4ZZ] Release Sphenoid Bone, Percutaneous Endoscopic Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NNF0ZZ] Release Right Ethmoid Bone, Open Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
[0NNF3ZZ] Release Right Ethmoid Bone, Percutaneous Approach -- Freeing a body part from an abnormal physical constraint by cutting or by the use of force
