[0F] Hepatobiliary System and Pancreas -- Body system (Hepatobiliary System and Pancreas) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0F1] Hepatobiliary System and Pancreas, Bypass -- Altering the route of passage of the contents of a tubular body part
[0FB70ZX] Excision of Common Hepatic Duct, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB70ZZ] Excision of Common Hepatic Duct, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB73ZX] Excision of Common Hepatic Duct, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB73ZZ] Excision of Common Hepatic Duct, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB74ZX] Excision of Common Hepatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB74ZZ] Excision of Common Hepatic Duct, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB77ZX] Excision of Common Hepatic Duct, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB77ZZ] Excision of Common Hepatic Duct, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0FB78ZX] Excision of Common Hepatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB78ZZ] Excision of Common Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FB80ZX] Excision of Cystic Duct, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB80ZZ] Excision of Cystic Duct, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB83ZX] Excision of Cystic Duct, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB83ZZ] Excision of Cystic Duct, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB84ZX] Excision of Cystic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB84ZZ] Excision of Cystic Duct, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB87ZX] Excision of Cystic Duct, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB87ZZ] Excision of Cystic Duct, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0FB88ZX] Excision of Cystic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB88ZZ] Excision of Cystic Duct, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FB90ZX] Excision of Common Bile Duct, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB90ZZ] Excision of Common Bile Duct, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB93ZX] Excision of Common Bile Duct, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB93ZZ] Excision of Common Bile Duct, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB94ZX] Excision of Common Bile Duct, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB94ZZ] Excision of Common Bile Duct, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FB97ZX] Excision of Common Bile Duct, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB97ZZ] Excision of Common Bile Duct, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0FB98ZX] Excision of Common Bile Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FB98ZZ] Excision of Common Bile Duct, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FBC0ZX] Excision of Ampulla of Vater, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBC0ZZ] Excision of Ampulla of Vater, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBC3ZX] Excision of Ampulla of Vater, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBC3ZZ] Excision of Ampulla of Vater, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBC4ZX] Excision of Ampulla of Vater, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBC4ZZ] Excision of Ampulla of Vater, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBC7ZX] Excision of Ampulla of Vater, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBC7ZZ] Excision of Ampulla of Vater, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0FBC8ZX] Excision of Ampulla of Vater, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBC8ZZ] Excision of Ampulla of Vater, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FBD0ZX] Excision of Pancreatic Duct, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBD0ZZ] Excision of Pancreatic Duct, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBD3ZX] Excision of Pancreatic Duct, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBD3ZZ] Excision of Pancreatic Duct, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBD4ZX] Excision of Pancreatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBD4ZZ] Excision of Pancreatic Duct, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBD7ZX] Excision of Pancreatic Duct, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBD7ZZ] Excision of Pancreatic Duct, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0FBD8ZX] Excision of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBD8ZZ] Excision of Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FBF0ZX] Excision of Accessory Pancreatic Duct, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBF0ZZ] Excision of Accessory Pancreatic Duct, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBF3ZX] Excision of Accessory Pancreatic Duct, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBF3ZZ] Excision of Accessory Pancreatic Duct, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBF4ZX] Excision of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBF4ZZ] Excision of Accessory Pancreatic Duct, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBF7ZX] Excision of Accessory Pancreatic Duct, Via Natural or Artificial Opening, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBF7ZZ] Excision of Accessory Pancreatic Duct, Via Natural or Artificial Opening -- Cutting out or off, without replacement, a portion of a body part
[0FBF8ZX] Excision of Accessory Pancreatic Duct, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBF8ZZ] Excision of Accessory Pancreatic Duct, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FBG0ZX] Excision of Pancreas, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBG0ZZ] Excision of Pancreas, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBG3ZX] Excision of Pancreas, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBG3ZZ] Excision of Pancreas, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBG4ZG] Excision of Pancreas, Percutaneous Endoscopic Approach, Hand-Assisted -- Cutting out or off, without replacement, a portion of a body part
[0FBG4ZX] Excision of Pancreas, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBG4ZZ] Excision of Pancreas, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0FBG8ZX] Excision of Pancreas, Via Natural or Artificial Opening Endoscopic, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0FBG8ZZ] Excision of Pancreas, Via Natural or Artificial Opening Endoscopic -- Cutting out or off, without replacement, a portion of a body part
[0FC] Hepatobiliary System and Pancreas, Extirpation -- Taking or cutting out solid matter from a body part
[0FC00ZZ] Extirpation of Matter from Liver, Open Approach -- Taking or cutting out solid matter from a body part
[0FC03ZZ] Extirpation of Matter from Liver, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0FC04ZZ] Extirpation of Matter from Liver, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0FC10ZZ] Extirpation of Matter from Right Lobe Liver, Open Approach -- Taking or cutting out solid matter from a body part
[0FC13ZZ] Extirpation of Matter from Right Lobe Liver, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0FC14ZZ] Extirpation of Matter from Right Lobe Liver, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0FC20ZZ] Extirpation of Matter from Left Lobe Liver, Open Approach -- Taking or cutting out solid matter from a body part
[0FC23ZZ] Extirpation of Matter from Left Lobe Liver, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0FC24ZZ] Extirpation of Matter from Left Lobe Liver, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0FC40ZZ] Extirpation of Matter from Gallbladder, Open Approach -- Taking or cutting out solid matter from a body part
[0FC43ZZ] Extirpation of Matter from Gallbladder, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0FC44ZZ] Extirpation of Matter from Gallbladder, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0FC48ZZ] Extirpation of Matter from Gallbladder, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0FC50ZZ] Extirpation of Matter from Right Hepatic Duct, Open Approach -- Taking or cutting out solid matter from a body part
[0FC53ZZ] Extirpation of Matter from Right Hepatic Duct, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0FC54ZZ] Extirpation of Matter from Right Hepatic Duct, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0FC57ZZ] Extirpation of Matter from Right Hepatic Duct, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0FC58ZZ] Extirpation of Matter from Right Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0FC60ZZ] Extirpation of Matter from Left Hepatic Duct, Open Approach -- Taking or cutting out solid matter from a body part
[0FC63ZZ] Extirpation of Matter from Left Hepatic Duct, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[0FC64ZZ] Extirpation of Matter from Left Hepatic Duct, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[0FC67ZZ] Extirpation of Matter from Left Hepatic Duct, Via Natural or Artificial Opening -- Taking or cutting out solid matter from a body part
[0FC68ZZ] Extirpation of Matter from Left Hepatic Duct, Via Natural or Artificial Opening Endoscopic -- Taking or cutting out solid matter from a body part
[0FC70ZZ] Extirpation of Matter from Common Hepatic Duct, Open Approach -- Taking or cutting out solid matter from a body part
