[07] Lymphatic and Hemic Systems -- Body system (Lymphatic and Hemic Systems) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[071] Lymphatic and Hemic Systems, Bypass -- Altering the route of passage of the contents of a tubular body part
[07B93ZX] Excision of Left Internal Mammary Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B93ZZ] Excision of Left Internal Mammary Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07B94ZX] Excision of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07B94ZZ] Excision of Left Internal Mammary Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BB0ZX] Excision of Mesenteric Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BB0ZZ] Excision of Mesenteric Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BB3ZX] Excision of Mesenteric Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BB3ZZ] Excision of Mesenteric Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BB4ZX] Excision of Mesenteric Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BB4ZZ] Excision of Mesenteric Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BC0ZX] Excision of Pelvis Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BC0ZZ] Excision of Pelvis Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BC3ZX] Excision of Pelvis Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BC3ZZ] Excision of Pelvis Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BC4ZX] Excision of Pelvis Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BC4ZZ] Excision of Pelvis Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BD0ZX] Excision of Aortic Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BD0ZZ] Excision of Aortic Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BD3ZX] Excision of Aortic Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BD3ZZ] Excision of Aortic Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BD4ZX] Excision of Aortic Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BD4ZZ] Excision of Aortic Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BF0ZX] Excision of Right Lower Extremity Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BF0ZZ] Excision of Right Lower Extremity Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BF3ZX] Excision of Right Lower Extremity Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BF3ZZ] Excision of Right Lower Extremity Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BF4ZX] Excision of Right Lower Extremity Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BF4ZZ] Excision of Right Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BG0ZX] Excision of Left Lower Extremity Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BG0ZZ] Excision of Left Lower Extremity Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BG3ZX] Excision of Left Lower Extremity Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BG3ZZ] Excision of Left Lower Extremity Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BG4ZX] Excision of Left Lower Extremity Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BG4ZZ] Excision of Left Lower Extremity Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BH0ZX] Excision of Right Inguinal Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BH0ZZ] Excision of Right Inguinal Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BH3ZX] Excision of Right Inguinal Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BH3ZZ] Excision of Right Inguinal Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BH4ZX] Excision of Right Inguinal Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BH4ZZ] Excision of Right Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BJ0ZX] Excision of Left Inguinal Lymphatic, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BJ0ZZ] Excision of Left Inguinal Lymphatic, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BJ3ZX] Excision of Left Inguinal Lymphatic, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BJ3ZZ] Excision of Left Inguinal Lymphatic, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BJ4ZX] Excision of Left Inguinal Lymphatic, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BJ4ZZ] Excision of Left Inguinal Lymphatic, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BK0ZX] Excision of Thoracic Duct, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BK0ZZ] Excision of Thoracic Duct, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BK3ZX] Excision of Thoracic Duct, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BK3ZZ] Excision of Thoracic Duct, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BK4ZX] Excision of Thoracic Duct, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BK4ZZ] Excision of Thoracic Duct, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BL0ZX] Excision of Cisterna Chyli, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BL0ZZ] Excision of Cisterna Chyli, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BL3ZX] Excision of Cisterna Chyli, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BL3ZZ] Excision of Cisterna Chyli, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BL4ZX] Excision of Cisterna Chyli, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BL4ZZ] Excision of Cisterna Chyli, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BM0ZX] Excision of Thymus, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BM0ZZ] Excision of Thymus, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BM3ZX] Excision of Thymus, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BM3ZZ] Excision of Thymus, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BM4ZX] Excision of Thymus, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BM4ZZ] Excision of Thymus, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07BP0ZX] Excision of Spleen, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BP0ZZ] Excision of Spleen, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[07BP3ZX] Excision of Spleen, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BP3ZZ] Excision of Spleen, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[07BP4ZX] Excision of Spleen, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[07BP4ZZ] Excision of Spleen, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[07C] Lymphatic and Hemic Systems, Extirpation -- Taking or cutting out solid matter from a body part
[07C00ZZ] Extirpation of Matter from Head Lymphatic, Open Approach -- Taking or cutting out solid matter from a body part
[07C03ZZ] Extirpation of Matter from Head Lymphatic, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[07C04ZZ] Extirpation of Matter from Head Lymphatic, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[07C10ZZ] Extirpation of Matter from Right Neck Lymphatic, Open Approach -- Taking or cutting out solid matter from a body part
[07C13ZZ] Extirpation of Matter from Right Neck Lymphatic, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[07C14ZZ] Extirpation of Matter from Right Neck Lymphatic, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[07C20ZZ] Extirpation of Matter from Left Neck Lymphatic, Open Approach -- Taking or cutting out solid matter from a body part
[07C23ZZ] Extirpation of Matter from Left Neck Lymphatic, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[07C24ZZ] Extirpation of Matter from Left Neck Lymphatic, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[07C30ZZ] Extirpation of Matter from Right Upper Extremity Lymphatic, Open Approach -- Taking or cutting out solid matter from a body part
[07C33ZZ] Extirpation of Matter from Right Upper Extremity Lymphatic, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[07C34ZZ] Extirpation of Matter from Right Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[07C40ZZ] Extirpation of Matter from Left Upper Extremity Lymphatic, Open Approach -- Taking or cutting out solid matter from a body part
[07C43ZZ] Extirpation of Matter from Left Upper Extremity Lymphatic, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[07C44ZZ] Extirpation of Matter from Left Upper Extremity Lymphatic, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[07C50ZZ] Extirpation of Matter from Right Axillary Lymphatic, Open Approach -- Taking or cutting out solid matter from a body part
[07C53ZZ] Extirpation of Matter from Right Axillary Lymphatic, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[07C54ZZ] Extirpation of Matter from Right Axillary Lymphatic, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[07C60ZZ] Extirpation of Matter from Left Axillary Lymphatic, Open Approach -- Taking or cutting out solid matter from a body part
[07C63ZZ] Extirpation of Matter from Left Axillary Lymphatic, Percutaneous Approach -- Taking or cutting out solid matter from a body part
[07C64ZZ] Extirpation of Matter from Left Axillary Lymphatic, Percutaneous Endoscopic Approach -- Taking or cutting out solid matter from a body part
[07C70ZZ] Extirpation of Matter from Thorax Lymphatic, Open Approach -- Taking or cutting out solid matter from a body part
