[0M] Bursae and Ligaments -- Body system (Bursae and Ligaments) within ICD-10-PCS section 'Medical and Surgical'. Aggregator of root-operation tables for this body system.
[0M2] Bursae and Ligaments, Change -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XX0Z] Change Drainage Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2XXYZ] Change Other Device in Upper Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YX0Z] Change Drainage Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M2YXYZ] Change Other Device in Lower Bursa and Ligament, External Approach -- Taking out or off a device from a body part and putting back an identical or similar device in or on the same body part without cutting or puncturing the skin or a mucous membrane
[0M5] Bursae and Ligaments, Destruction -- Physical eradication of all or a portion of a body part by the direct use of energy, force, or a destructive agent
[0MB43ZZ] Excision of Left Elbow Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB44ZX] Excision of Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB44ZZ] Excision of Left Elbow Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB50ZX] Excision of Right Wrist Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB50ZZ] Excision of Right Wrist Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB53ZX] Excision of Right Wrist Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB53ZZ] Excision of Right Wrist Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB54ZX] Excision of Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB54ZZ] Excision of Right Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB60ZX] Excision of Left Wrist Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB60ZZ] Excision of Left Wrist Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB63ZX] Excision of Left Wrist Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB63ZZ] Excision of Left Wrist Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB64ZX] Excision of Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB64ZZ] Excision of Left Wrist Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB70ZX] Excision of Right Hand Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB70ZZ] Excision of Right Hand Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB73ZX] Excision of Right Hand Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB73ZZ] Excision of Right Hand Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB74ZX] Excision of Right Hand Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB74ZZ] Excision of Right Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB80ZX] Excision of Left Hand Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB80ZZ] Excision of Left Hand Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB83ZX] Excision of Left Hand Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB83ZZ] Excision of Left Hand Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB84ZX] Excision of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB84ZZ] Excision of Left Hand Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB90ZX] Excision of Right Upper Extremity Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB90ZZ] Excision of Right Upper Extremity Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB93ZX] Excision of Right Upper Extremity Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB93ZZ] Excision of Right Upper Extremity Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MB94ZX] Excision of Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MB94ZZ] Excision of Right Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBB0ZX] Excision of Left Upper Extremity Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBB0ZZ] Excision of Left Upper Extremity Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBB3ZX] Excision of Left Upper Extremity Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBB3ZZ] Excision of Left Upper Extremity Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBB4ZX] Excision of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBB4ZZ] Excision of Left Upper Extremity Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBC0ZX] Excision of Upper Spine Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBC0ZZ] Excision of Upper Spine Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBC3ZX] Excision of Upper Spine Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBC3ZZ] Excision of Upper Spine Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBC4ZX] Excision of Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBC4ZZ] Excision of Upper Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBD0ZX] Excision of Lower Spine Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBD0ZZ] Excision of Lower Spine Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBD3ZX] Excision of Lower Spine Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBD3ZZ] Excision of Lower Spine Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBD4ZX] Excision of Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBD4ZZ] Excision of Lower Spine Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBF0ZX] Excision of Sternum Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBF0ZZ] Excision of Sternum Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBF3ZX] Excision of Sternum Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBF3ZZ] Excision of Sternum Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBF4ZX] Excision of Sternum Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBF4ZZ] Excision of Sternum Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBG0ZX] Excision of Rib(s) Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBG0ZZ] Excision of Rib(s) Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBG3ZX] Excision of Rib(s) Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBG3ZZ] Excision of Rib(s) Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBG4ZX] Excision of Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBG4ZZ] Excision of Rib(s) Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBH0ZX] Excision of Right Abdomen Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBH0ZZ] Excision of Right Abdomen Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBH3ZX] Excision of Right Abdomen Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBH3ZZ] Excision of Right Abdomen Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBH4ZX] Excision of Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBH4ZZ] Excision of Right Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBJ0ZX] Excision of Left Abdomen Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBJ0ZZ] Excision of Left Abdomen Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBJ3ZX] Excision of Left Abdomen Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBJ3ZZ] Excision of Left Abdomen Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBJ4ZX] Excision of Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBJ4ZZ] Excision of Left Abdomen Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBK0ZX] Excision of Perineum Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBK0ZZ] Excision of Perineum Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBK3ZX] Excision of Perineum Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBK3ZZ] Excision of Perineum Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBK4ZX] Excision of Perineum Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBK4ZZ] Excision of Perineum Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBL0ZX] Excision of Right Hip Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBL0ZZ] Excision of Right Hip Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBL3ZX] Excision of Right Hip Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBL3ZZ] Excision of Right Hip Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBL4ZX] Excision of Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBL4ZZ] Excision of Right Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBM0ZX] Excision of Left Hip Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBM0ZZ] Excision of Left Hip Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBM3ZX] Excision of Left Hip Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBM3ZZ] Excision of Left Hip Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBM4ZX] Excision of Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBM4ZZ] Excision of Left Hip Bursa and Ligament, Percutaneous Endoscopic Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBN0ZX] Excision of Right Knee Bursa and Ligament, Open Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBN0ZZ] Excision of Right Knee Bursa and Ligament, Open Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBN3ZX] Excision of Right Knee Bursa and Ligament, Percutaneous Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
[0MBN3ZZ] Excision of Right Knee Bursa and Ligament, Percutaneous Approach -- Cutting out or off, without replacement, a portion of a body part
[0MBN4ZX] Excision of Right Knee Bursa and Ligament, Percutaneous Endoscopic Approach, Diagnostic -- Cutting out or off, without replacement, a portion of a body part
